grid_id,centroid_lon,centroid_lat,mapsheet,obs_sum,spp_rich
798,25.75,-25.25003893,E025S26BB,1,1
799,26.25,-25.25003893,E026S26BB,21,21
800,26.75,-25.25003893,E026S26BB,21,16
801,27.25,-25.25003893,E027S26BB,184,101
802,27.75,-25.25003893,E027S26BB,199,116
803,28.25,-25.25003893,E028S26BB,192,85
804,28.75,-25.25003893,E028S26BB,84,60
805,29.25,-25.25003893,E029S26BB,16,15
806,29.75,-25.25003893,E029S26BB,11,11
807,30.25,-25.25003893,E030S26BB,276,150
808,30.75,-25.25003893,E030S26BB,578,289
809,31.25,-25.25003893,E031S26BB,1323,545
810,31.75,-25.25003893,E031S26BB,882,333
82,19.25,-34.75000318,E019S35BB,386,81
823,19.75,-24.75003973,E019S25BB,1,1
824,20.25,-24.75003973,E020S25BB,9,8
83,19.75,-34.75000318,E019S35BB,201,76
836,26.25,-24.75003973,E026S25BB,16,12
837,26.75,-24.75003973,E026S25BB,1,1
838,27.25,-24.75003973,E027S25BB,115,88
839,27.75,-24.75003973,E027S25BB,72,51
84,20.25,-34.75000318,E020S35BB,93,39
840,28.25,-24.75003973,E028S25BB,339,163
841,28.75,-24.75003973,E028S25BB,184,120
842,29.25,-24.75003973,E029S25BB,21,18
843,29.75,-24.75003973,E029S25BB,3,3
844,30.25,-24.75003973,E030S25BB,15,12
845,30.75,-24.75003973,E030S25BB,689,287
846,31.25,-24.75003973,E031S25BB,223,128
847,31.75,-24.75003973,E031S25BB,358,154
848,32.25,-24.75003973,E032S25BB,1,1
874,26.75,-24.25004044,E026S25BB,6,5
875,27.25,-24.25004044,E027S25BB,21,17
876,27.75,-24.25004044,E027S25BB,198,122
877,28.25,-24.25004044,E028S25BB,160,120
878,28.75,-24.25004044,E028S25BB,116,94
879,29.25,-24.25004044,E029S25BB,24,20
880,29.75,-24.25004044,E029S25BB,18,18
881,30.25,-24.25004044,E030S25BB,158,101
882,30.75,-24.25004044,E030S25BB,1064,393
883,31.25,-24.25004044,E031S25BB,301,175
884,31.75,-24.25004044,E031S25BB,422,188
912,27.25,-23.75004106,E027S24BB,4,4
913,27.75,-23.75004106,E027S24BB,82,58
914,28.25,-23.75004106,E028S24BB,150,103
915,28.75,-23.75004106,E028S24BB,51,49
916,29.25,-23.75004106,E029S24BB,20,14
917,29.75,-23.75004106,E029S24BB,146,88
918,30.25,-23.75004106,E030S24BB,110,78
919,30.75,-23.75004106,E030S24BB,30,23
920,31.25,-23.75004106,E031S24BB,255,113
921,31.75,-23.75004106,E031S24BB,191,96
950,27.75,-23.25004159,E027S24BB,12,8
951,28.25,-23.25004159,E028S24BB,18,17
953,29.25,-23.25004159,E029S24BB,16,15
954,29.75,-23.25004159,E029S24BB,57,51
955,30.25,-23.25004159,E030S24BB,31,27
956,30.75,-23.25004159,E030S24BB,4,4
957,31.25,-23.25004159,E031S24BB,244,105
958,31.75,-23.25004159,E031S24BB,8,6
988,28.25,-22.75004203,E028S23BB,11,10
989,28.75,-22.75004203,E028S23BB,32,27
990,29.25,-22.75004203,E029S23BB,86,78
991,29.75,-22.75004203,E029S23BB,365,250
992,30.25,-22.75004203,E030S23BB,79,44
993,30.75,-22.75004203,E030S23BB,140,82
994,31.25,-22.75004203,E031S23BB,542,273
